,,,,,,,,,T,1/T,ln T,1/(T-263),T^2,1/(680-T),1/(T-227)
source,coefficient,alpha,Tmin,Tmax,ion1,ion2,ion3,a0,a1,a2,a3,a4,a5,a6,a7
M88,Aosm,,273.15,573.15,,,,0.336901532,-0.0006321,9.14252359,-0.013514399,0.002260895,1.92119E-06,45.2586464,
M88,b0,,298.15,523.15,Na,SO4,,81.6920027,0.030110496,-2321.93726,-14.3780207,-0.666496111,-1.03924E-05,,
M88,b0,,273.15,573.15,Na,Cl,,14.3783204,0.005607674,-422.185236,-2.51226677,,-2.61718E-06,4.43854508,-1.70502337
GM89,b0,,273.15,523.15,K,SO4,,40.7908797,0.008269067,-1418.42998,-6.74728848,,,,
GM89,b0,,273.15,523.15,K,Cl,,26.7375563,0.010072105,-758.485453,-4.70624175,,-3.75994E-06,,
M88,b0,,298.15,523.15,Ca,SO4,,0.015,,,,,,,
M88,b0,,298.15,523.15,Ca,Cl,,-94.1895832,-0.040475003,2345.50368,17.09123,-0.922885841,1.51488E-05,-1.39082,
M88,b1,2,298.15,523.15,Na,SO4,,1004.63018,0.577453682,-21843.4467,-189.110656,-0.203550549,-0.00032395,1467.72243,
M88,b1,2,273.15,573.15,Na,Cl,,-0.483060685,0.001406775,119.311989,,,,,-4.23433299
GM89,b1,2,273.15,523.15,K,SO4,,-13.1669651,0.023579324,2067.12594,,,,,
GM89,b1,2,273.15,523.15,K,Cl,,-7.41559626,,322.892989,1.16438557,,,,-5.9457814
M88,b1,1.4,298.15,523.15,Ca,SO4,,3,,,,,,,
M88,b1,2,298.15,523.15,Ca,Cl,,3.4787,-0.015417,,,,0.000031791,,
M88,b2,12,298.15,323.15,Ca,SO4,,-0.012939929,0.400431027,,,,,,
M88,Cphi,,298.15,523.15,Na,SO4,,-80.7816886,-0.035452113,2024.3883,14.619773,-0.091697474,1.43946E-05,-2.42272049,
M88,Cphi,,273.15,573.15,Na,Cl,,-0.100588714,-1.80529E-05,8.61185543,0.012488095,,3.41172E-08,0.0683041,0.293922611
GM89,Cphi,,273.15,523.15,K,SO4,,-0.0188,,,,,,,
GM89,Cphi,,273.15,523.15,K,Cl,,-3.30531334,-0.001298078,91.27121,0.586450181,,4.95714E-07,,
M88,Cphi,,298.15,523.15,Ca,SO4,,0,,,,,,,
GM89,Cphi,,298.15,523.15,Ca,Cl,,19.3056024,0.009770909,-428.383748,-3.57996343,0.088206854,-4.6227E-06,9.91113465,
GM89,theta,,273.15,523.15,Na,K,,-0.050231211,,14.0213141,,,,,
M88,theta,,273.15,523.15,Na,Ca,,0.05,,,,,,,
GM89,theta,,273.15,523.15,K,Ca,,0.1156,,,,,,,
M88,theta,,298.15,423.15,Cl,SO4,,0.07,,,,,,,
GM89,psi,,273.15,423.15,Na,K,SO4,0.034811517,,-8.21656777,,,,,
GM89,psi,,273.15,523.15,Na,K,Cl,0.013421131,,-5.10212917,,,,,
M88,psi,,273.15,523.15,Na,Ca,SO4,-0.012,,,,,,,
M88,psi,,298.15,523.15,Na,Ca,Cl,-0.003,,,,,,,
M88,psi,,298.15,423.15,Na,SO4,Cl,-0.009,,,,,,,
GM89,psi,,273.15,523.15,K,Ca,Cl,0.047627898,,-27.0770507,,,,,
GM89,psi,,273.15,523.15,K,SO4,Cl,-0.212481475,0.000284698,37.5619614,,,,,
M88,psi,,298.15,523.15,Ca,SO4,Cl,-0.018,,,,,,,
