tempK,H,Na,Mg,Ca,K,Cl,HSO4,SO4,OH,MgOH,tris,osm,aw,gH,gNa,gMg,gCa,gK,gCl,gHSO4,gSO4,gOH,gMgOH,gtris
273.15,1.4,1.5,1.0,0.2,3.3,3.6,1.2,0.5,3,0.2,0.1,1.3968817861392968,0.6685546029054925,3.351713688844092,1.1339277360922329,0.6107968392277907,0.03953339319185418,0.7509496081070214,1.4350979874383765,1.8897084015720822,0.01559510308262822,0.6089816393001845,0.25429827277103584,0.8231217021436108
278.15,1.4,1.5,1.0,0.2,3.3,3.6,1.2,0.5,3,0.2,0.1,1.385209210748968,0.6708077451865713,3.161336344542471,1.137163676839586,0.5522737966850638,0.04199560853219467,0.7628409912986518,1.4258070838581154,1.8562503440090494,0.01641335150324233,0.5933702577361127,0.2481218292204618,0.8231217021436108
283.15,1.4,1.5,1.0,0.2,3.3,3.6,1.2,0.5,3,0.2,0.1,1.3739978493586982,0.672979008944713,2.9899887283808737,1.144540149930388,0.5007250784667636,0.04166968061033666,0.7726394808421818,1.409560302286547,1.8263655857800143,0.016971838605662797,0.5808077381069104,0.24245259305013014,0.8231217021436108
288.15,1.4,1.5,1.0,0.2,3.3,3.6,1.2,0.5,3,0.2,0.1,1.3632519444298046,0.6750667254596063,2.833600838503284,1.1522748475308728,0.4545658185470936,0.04031454662423001,0.7807707307289806,1.3899764253671392,1.7988368808836588,0.01731710726664536,0.5698409232369178,0.23713707247151639,0.8231217021436108
293.15,1.4,1.5,1.0,0.2,3.3,3.6,1.2,0.5,3,0.2,0.1,1.3528731356484194,0.6770892706712239,2.689897791841652,1.158196739346347,0.41290406377152195,0.03856476507427231,0.7874300647717984,1.3684644108129178,1.7729863926929559,0.01747108887094697,0.5596599575799245,0.2320958734716993,0.8231217021436108
298.15,1.4,1.5,1.0,0.2,3.3,3.6,1.2,0.5,3,0.2,0.1,1.3427760089575331,0.6790627388327533,2.5574264305856396,1.1610632466990236,0.3751318130240401,0.03668385794328427,0.7927426291072555,1.345742277206453,1.7483366406283094,0.017455419079625535,0.5497940134965559,0.22727711673810497,0.8231217021436108
303.15,1.4,1.5,1.0,0.2,3.3,3.6,1.2,0.5,3,0.2,0.1,1.3329012821411648,0.6809983024517977,2.4351835424295176,1.1602274011523273,0.3407911893533388,0.03478962295656188,0.7968043681629442,1.3222380523221955,1.7245120206947695,0.017295144353953545,0.539971425120141,0.22264279091415773,0.8231217021436108
308.15,1.4,1.5,1.0,0.2,3.3,3.6,1.2,0.5,3,0.2,0.1,1.3232123220058314,0.6829028158211239,2.322433884890634,1.1554422922266538,0.3095156772600368,0.03293585777054699,0.7996960180338157,1.298232571777512,1.701199368615973,0.017018042292499397,0.530043195822362,0.21816322370035596,0.8231217021436108
313.15,1.4,1.5,1.0,0.2,3.3,3.6,1.2,0.5,3,0.2,0.1,1.313689632741204,0.6847798359590866,2.2186105683079553,1.1467328638124052,0.2809997701544683,0.031146178916412106,0.801488848547149,1.2739214584776213,1.6781287077554246,0.01665299480089112,0.5199374144248472,0.21381433639565087,0.8231217021436108
318.15,1.4,1.5,1.0,0.2,3.3,3.6,1.2,0.5,3,0.2,0.1,1.304326118771385,0.686630511454354,2.1232575980539354,1.134305940343936,0.254981663715184,0.029429386207115153,0.8022473679260977,1.249446181614806,1.6550626351818414,0.016228411673279805,0.509630677028241,0.20957608852103166,0.8231217021436108
323.15,1.4,1.5,1.0,0.2,3.3,3.6,1.2,0.5,3,0.2,0.1,1.2951234784444898,0.6884542640418164,2.035996113130499,1.118484657967385,0.23123270273363858,0.02778693134405902,0.8020307825758184,1.2249114584889993,1.63179007850795,0.01577102953784852,0.4991296032573875,0.20543152046029736,0.8231217021436108
298.15,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0,0.0,0.1,0.9622337052771476,0.9948131065690943,0.7954044390242091,0.7855014893328166,0.35873241516466803,0.3464016419693432,0.7723260206154703,0.7954044390242091,0.8213426727338418,0.28450304670253923,0.7308343373362667,0.9016290574492986,0.9987509676909944
298.15,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.1,1.0374914748620396,0.9615104373526598,0.8103876855392764,0.7030568757887627,0.2286876199622351,0.20706119127407116,0.6003947529380702,0.8103876855392764,0.9584807430246005,0.04447848932039976,0.431781666452435,1.0460352668101878,0.9987509676909944
298.15,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0,0.0,0.1,1.182177507857517,0.9163861848299583,1.008721213258903,0.7573339225263771,0.2841045680344698,0.23193563616927626,0.5542002192042061,1.008721213258903,1.3626084099859421,0.01926869891126106,0.323073090042032,0.9540374769418503,0.9987509676909944
298.15,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,0.0,0.1,1.341340400293767,0.8629470818582557,1.3160778088275606,0.8499931797069713,0.4089649616625929,0.29534458884679377,0.5261720174538314,1.3160778088275606,2.0859314979027785,0.011891975053706996,0.25979442270787273,0.8012844941665237,0.9987509676909944
298.15,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0,0.0,0.1,0.9558432220983164,0.9948474653871238,0.8013399979097089,0.7801115824759187,0.3596980049290296,0.3474208857101961,0.7699868044002594,0.7776503207169716,0.7863154080220406,0.30626667173355115,0.7691560193437146,0.901876687969281,1.0018796413152298
