temp,H,Na,Mg,Ca,K,Cl,HSO4,SO4,OH,MgOH,osm,aw,gH,gNa,gMg,gCa,gK,gCl,gHSO4,gSO4,gOH,gMgOH
2.731499999999999773e+02,1.399999999999999911e+00,1.500000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01,3.299999999999999822e+00,3.600000000000000089e+00,1.199999999999999956e+00,5.000000000000000000e-01,3.000000000000000000e+00,2.000000000000000111e-01,1.400707891347720002e+00,6.695049854604255835e-01,3.351713688844094818e+00,1.131665723022406977e+00,6.287755762530850001e-01,4.206885631818627069e-02,7.466141730722972714e-01,1.435793676247161255e+00,1.889708401572081531e+00,1.559510308262823317e-02,6.089816393001844519e-01,2.542982727710358937e-01
2.781499999999999773e+02,1.399999999999999911e+00,1.500000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01,3.299999999999999822e+00,3.600000000000000089e+00,1.199999999999999956e+00,5.000000000000000000e-01,3.000000000000000000e+00,2.000000000000000111e-01,1.388961903533552533e+00,6.717613306917323834e-01,3.161336344542471810e+00,1.134895208560993352e+00,5.685299144624801349e-01,4.468898515141165456e-02,7.584369040950681429e-01,1.426498268739153863e+00,1.856250344009049646e+00,1.641335150324232939e-02,5.933702577361127384e-01,2.481218292204617482e-01
2.831499999999999773e+02,1.399999999999999911e+00,1.500000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01,3.299999999999999822e+00,3.600000000000000089e+00,1.199999999999999956e+00,5.000000000000000000e-01,3.000000000000000000e+00,2.000000000000000111e-01,1.377680030436425840e+00,6.739356810058395597e-01,2.989988728380872374e+00,1.142256966711848065e+00,5.154638654570573575e-01,4.434215393335290412e-02,7.681788243103823133e-01,1.410243611256520868e+00,1.826365585780013845e+00,1.697183860566279720e-02,5.808077381069103318e-01,2.424525930501301441e-01
2.881499999999999773e+02,1.399999999999999911e+00,1.500000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01,3.299999999999999822e+00,3.600000000000000089e+00,1.199999999999999956e+00,5.000000000000000000e-01,3.000000000000000000e+00,2.000000000000000111e-01,1.366866541199802221e+00,6.760263653102700498e-01,2.833600838503283370e+00,1.149976234769067629e+00,4.679459128558290382e-01,4.290010880768530682e-02,7.762631302940824485e-01,1.390650240710806784e+00,1.798836880883658118e+00,1.731710726664532907e-02,5.698409232369177069e-01,2.371370724715163303e-01
2.931499999999999773e+02,1.399999999999999911e+00,1.500000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01,3.299999999999999822e+00,3.600000000000000089e+00,1.199999999999999956e+00,5.000000000000000000e-01,3.000000000000000000e+00,2.000000000000000111e-01,1.356422456891491324e+00,6.780517856672791943e-01,2.689897791841653785e+00,1.155886313312622260e+00,4.250578489623704770e-01,4.103810550692775505e-02,7.828840182017601235e-01,1.369127797831892757e+00,1.772986392692956104e+00,1.747108887094698734e-02,5.596599575799244830e-01,2.320958734716994376e-01
2.981499999999999773e+02,1.399999999999999911e+00,1.500000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01,3.299999999999999822e+00,3.600000000000000089e+00,1.199999999999999956e+00,5.000000000000000000e-01,3.000000000000000000e+00,2.000000000000000111e-01,1.346261826259152805e+00,6.800280592088108200e-01,2.557426430585640453e+00,1.158747102419867003e+00,3.861737762154477394e-01,3.903656692263816202e-02,7.881659116675672205e-01,1.346394649274393229e+00,1.748336640628309402e+00,1.745541907962558023e-02,5.497940134965563219e-01,2.272771167381050783e-01
3.031499999999999773e+02,1.399999999999999911e+00,1.500000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01,3.299999999999999822e+00,3.600000000000000089e+00,1.199999999999999956e+00,5.000000000000000000e-01,3.000000000000000000e+00,2.000000000000000111e-01,1.336324994242681363e+00,6.819663743247256216e-01,2.435183542429516290e+00,1.157912924257687992e+00,3.508223401066178915e-01,3.702084570431055793e-02,7.922042012059852256e-01,1.322879030306696846e+00,1.724512020694769499e+00,1.729514435395350033e-02,5.399714251201408466e-01,2.226427909141577288e-01
3.081499999999999773e+02,1.399999999999999911e+00,1.500000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01,3.299999999999999822e+00,3.600000000000000089e+00,1.199999999999999956e+00,5.000000000000000000e-01,3.000000000000000000e+00,2.000000000000000111e-01,1.326575097251150970e+00,6.838735950514971407e-01,2.322433884890635181e+00,1.153137360895268415e+00,3.186262367935464024e-01,3.504818980605126783e-02,7.950791568006726484e-01,1.298861912686141373e+00,1.701199368615973873e+00,1.701804229249942457e-02,5.300431958223621454e-01,2.181632237003559571e-01
3.131499999999999773e+02,1.399999999999999911e+00,1.500000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01,3.299999999999999822e+00,3.600000000000000089e+00,1.199999999999999956e+00,5.000000000000000000e-01,3.000000000000000000e+00,2.000000000000000111e-01,1.316992516859073703e+00,6.857532834639532560e-01,2.218610568307954889e+00,1.144445306463749201e+00,2.892709671340766842e-01,3.314373039866065629e-02,7.968616368189327392e-01,1.274539014149562277e+00,1.678128707755423443e+00,1.665299480089110426e-02,5.199374144248469776e-01,2.138143363956508114e-01
3.181499999999999773e+02,1.399999999999999911e+00,1.500000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01,3.299999999999999822e+00,3.600000000000000089e+00,1.199999999999999956e+00,5.000000000000000000e-01,3.000000000000000000e+00,2.000000000000000111e-01,1.307570112864287148e+00,6.876065897835361707e-01,2.123257598053935880e+00,1.132043172814251042e+00,2.624870206256799121e-01,3.131683166864211720e-02,7.976157770605146746e-01,1.250051872468906256e+00,1.655062635181841824e+00,1.622841167327982240e-02,5.096306770282413856e-01,2.095760885210317392e-01
